1.533159187044127612e-04 1.987540511942224170e-03 8.101525202510213505e-03 1.079860830491764789e-02 5.420086280610653812e-02 3.366544212364542266e-01 3.971190634966696997e-01 3.255981353564215697e-01 5.799914426138502721e-01 9.871969536287700464e+00 1.135112799982985976e+01 1.648743336845560137e+01 3.106403634099082822e+00 4.887987210019034690e-01 6.220812141477606305e-01 3.535715406423071694e-01
2.305555088552101631e-05 4.517352144709172465e-04 3.205936132795986389e-03 2.532239824857670379e-03 7.119895903310581066e-03 1.631502687462556278e-02 3.043526133989325061e-02 4.945803499842375550e-01 2.170325633403628052e-01 6.286050571647929083e-05 5.163271657897580691e-03 1.641953665020307440e+01 1.855248978506170943e+01 6.501173473384396218e-01 4.360565317103612060e+00 6.067087896742992537e-02
5.437194370808031400e-05 4.381857434636636864e-04 5.087329762785653547e-02 4.603850293815340416e-02 9.503025893909436417e-02 1.843583015962583782e-01 2.448056026427094800e-01 2.113205296518591680e+00 9.699208650848800684e-01 5.068582267981768252e-01 1.350065172052614315e+01 1.253494404339650004e+01 9.317763310523102804e-01 1.530239712447686529e+00 3.129585146691896691e-01 1.822936271043932521e+01
3.415498848339094604e-03 2.298375842770623151e-02 1.096067837554492580e-01 6.436031052161422794e-02 1.236434888610664501e-01 5.095389737164728317e-01 6.035876711779382398e-02 1.083616778133181313e+01 2.216435062255283750e+00 2.059731393750483974e+00 4.820456212412174146e+00 5.396365400470626739e+00 5.167544528318313901e+00 1.202549401311401134e+01 1.309790196144797392e+01 2.073801558164297537e-02
1.743215095796017168e-03 1.862946049288705585e-03 1.937710618541340149e-02 4.585635577483042624e-01 5.331432399927553689e-01 1.136113167287641446e+00 4.868001431220716491e-01 8.888126546466600386e-01 1.159594170413709158e+01 2.345792532015670950e+00 6.497915386006621219e+00 1.620670675625490986e+01 5.268965860562156989e-01 2.531870559085633410e+00 1.210752573692031216e-02 2.929962880139053583e-03
1.269803338580918634e-06 2.161375436706841635e-05 2.231782438923976143e-05 2.071633077753401344e-04 6.836537480841729450e-03 4.468729995509015396e-01 1.965765618481414012e-01 3.200209561309168560e-01 8.755332023205584235e+00 3.186140549087124185e-02 1.345561879607233280e+01 2.286185179430740622e+00 1.435419571278911199e+01 6.452256496471981961e+00 2.378449833727469098e+00 3.797723147175076086e+00
5.345012652869110478e-08 1.781577485516187484e-03 7.708148971251753238e-03 1.846168301891884522e-01 1.651476322779070194e-01 1.047713424526819148e+00 3.636927344385158523e-01 8.919319562863624595e-01 9.044204983262424946e+00 5.386517849940003266e+00 2.660662854939278565e-01 2.915767978817404682e+00 1.190860130486651691e+01 1.420013521485705787e+01 1.275966834743303835e+01 2.929962880139053583e-03
1.269174403541984769e-05 4.667833649164797576e-04 6.489817852290047286e-04 9.424270997575941167e-02 5.114607189607162097e-01 6.090224992931386749e-01 1.000319186865363719e+01 7.190894525511918323e-01 5.645101064772065635e-01 5.960558842271413554e-02 1.334843495855416284e+00 9.232838487086981738e-01 1.290032193200894461e+01 4.619574961752885400e+00 1.090757511097794996e+01 8.488775632140129090e+00
1.374233729145154072e-03 1.045125552346669665e-02 4.597032134565325057e-02 4.220109530902514672e-02 9.642682549363118527e-02 6.250483272649162148e-01 1.194016918537240457e+00 5.272156421168858742e-01 3.328538297726701956e-01 4.097462183601755514e-01 6.089759835077341865e-01 1.021406723880136447e+01 1.685678415013923725e+01 1.594642792467200287e+01 7.433669070200206619e+00 3.210868119069247052e-03
8.905388926661962688e-05 8.581264850248752603e-04 7.645972178719675355e-03 5.773118421772587168e-03 1.674964322248687770e-02 1.285208880239160356e-01 6.767639047855054935e-02 2.751940364499932734e+00 1.116016638406513017e+01 4.038713507742980546e+00 1.245821931788852366e+00 7.767251046409644477e-01 1.835377497521611545e+01 6.482165027397446266e-01 1.442903518468743318e+00 6.373236001876591672e+00
