0	1
0.033281	0.99945
0.066519	0.99779
0.09971	0.99502
0.1328	0.99114
0.16562	0.98619
0.19827	0.98015
0.2307	0.97303
0.26278	0.96485
0.29456	0.95563
0.32594	0.94539
0.35692	0.93414
0.38735	0.92193
0.41733	0.90875
0.44636	0.89485
0.47485	0.88006
0.5027	0.86446
0.52996	0.84803
0.55667	0.83074
0.58269	0.81269
0.60812	0.79384
0.63291	0.77423
0.65699	0.7539
0.68044	0.7328
0.70323	0.71096
0.72523	0.68851
0.74654	0.66534
0.7671	0.64153
0.78689	0.61709
0.80593	0.59201
0.8242	0.5663
0.84161	0.54008
0.85821	0.5133
0.87397	0.48598
0.88887	0.45816
0.9029	0.42985
0.91603	0.40111
0.92827	0.37191
0.93956	0.3424
0.94994	0.31244
0.95936	0.28218
0.96783	0.2516
0.97534	0.22073
0.98184	0.18969
0.98738	0.15836
0.99192	0.12689
0.99545	0.095324
0.99798	0.063542
0.99949	0.031811
1	0
