0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0.36948	0.32671	0	0.30602	0.5484	0.38089	0.28545	0.3685	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0.17815	0.36027	0.43656	0	0.44484	0.46248	0	0	0	0	0.48592
0	0	0	0.46459	0.60472	0	0	0.53292	0	0.18831	0.12134	0.17651	0.23051	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0.083431	0.38244	0.14248	0	0.18325	0.33063	0.3206	0	0.38077	0.52414	0.11486	0.38457
0	0	0.27601	0.33261	0	0.40131	0	0.55753	0	0	0.57821	0.083504	0	0
0	0	0.43208	0.52771	0.25976	0.14939	0.16276	0	0	0.46064	0	0.41547	0.18369	0
0	0	0.59523	0	0	0.012264	0.26299	0.34239	0	0.40401	0.3742	0	0.37466	0.12466
0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0.15283	0	0.35279	0.049059	0.40392	0.32333	0.54572	0.11917	0.48331	0	0.16861	0	0.089731
0	0.1777	0.1565	0	0.0917	0.60498	0	0.34686	0	0.28878	0	0	0.60483	0
0	0.21941	0.29545	0.48648	0	0.42916	0	0.0030423	0.49942	0.34009	0.28042	0	0	0
0	0.30594	0.1757	0.30098	0.1462	0.15989	0.09932	0	0.26619	0.40204	0	0	0.48896	0.50653
0	0.33085	0.26903	0	0.41951	0	0	0.31915	0.26512	0.60513	0.24256	0.21216	0	0
0	0.48723	0.37672	0.20543	0	0.37268	0.50836	0	0.10486	0	0.16987	0.37593	0	0
0	0.55025	0	0	0	0.34256	0	0.26436	0.59406	0	0.10134	0.17423	0.32485	0.10452
0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.01378	0.046289	0.15311	0.23134	0.3355	0.19728	0.55834	0.2681	0.23796	0	0.18129	0.022693	0.54368	0
0.019131	0	0.59921	0	0.37491	0	0.42672	0.19013	0	0	0	0.43143	0	0.30928
0.082189	0.2187	0.23312	0.20562	0.39844	0.3048	0.29876	0	0	0.25793	0.60492	0	0.053113	0.26943
0.097549	0.60441	0	0	0.15962	0.018074	0.032782	0.30361	0.055904	0	0.4621	0.538	0	0
0.12613	0	0.49668	0	0.40916	0.18398	0	0	0.54466	0	0.38326	0.29343	0	0.080568
0.14037	0.36669	0.51638	0.32489	0	0	0.062821	0.58217	0	0.075685	0	0.35362	0	0
0.14078	0.60499	0	0	0.12366	0.032075	0.48942	0.17419	0	0.4331	0.053881	0.10659	0.35515	0
0.20131	0.22978	0	0	0.52031	0.41528	0.39154	0	0.47693	0.27264	0	0.086622	0	0.029756
0.28916	0	0	0	0.40745	0	0.30245	0.43104	0	0.3208	0.14308	0	0.22221	0.54803
0.31649	0.60174	0.43195	0.30852	0	0.021421	0	0.025253	0	0	0	0	0.50487	0
0.33494	0.1433	0	0.31734	0	0.28739	0.45101	0	0	0.20506	0	0.35518	0	0.55889
0.34588	0.28345	0	0.093097	0.010046	0.48762	0.031284	0	0	0.046513	0.13617	0.60495	0.40511	0.041391
0.41308	0.51816	0.31322	0.070713	0.39363	0.023018	0.024533	0.12377	0.23802	0.054189	0	0.21876	0	0.423
0.42862	0.34596	0	0.60511	0.29695	0.4071	0.066472	0.19263	0.11894	0	0	0.085253	0.11656	0
0.43037	0.26135	0	0	0	0.13607	0.053628	0.39613	0.3078	0	0.56954	0	0	0.38606
0.47326	0.04074	0.35456	0	0.34073	0	0	0.32404	0	0.26835	0	0.371	0.4668	0
0.47516	0	0.29479	0.12278	0	0.43926	0.15156	0	0.54043	0	0	0	0.28113	0.29195
0.49879	0	0	0.35769	0.19537	0	0	0.19535	0.46338	0.53157	0.064924	0	0.20586	0.055246
0.52091	0	0.59699	0.41717	0.40866	0	0	0	0	0	0.17671	0	0	0
0.52346	0	0	0	0.45727	0.56542	0	0	0	0	0.17814	0.17159	0	0.36881
0.55126	0.17724	0.38714	0	0	0	0.59942	0.19541	0	0	0	0	0.26056	0.22236
0.59526	0	0.2408	0.13191	0	0.09194	0.15376	0	0.14419	0.30359	0.49812	0.42083	0	0.00045526
1	0	0	0	0	0	0	0	0	0	0	0	0	0
