0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0.28033	0	0.31976	0.52409	0	0.42469	0	0.60343
0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0.0064912	0.48079	0	0.26559	0.60295	0.32625	0.20455	0.37483	0.17267	0.12698
0	0	0	0.17836	0.12863	0.42774	0.35154	0.091929	0.18057	0.49946	0	0.068014	0.59158
0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0.25962	0	0.29484	0.46107	0	0	0.50249	0.34289	0.49678	0.12736	0
0	0	0.48203	0.21435	0	0.14713	0.50111	0.073183	0.063438	0.53686	0.38394	0	0.062695
0	0	0.49281	0.20944	0.35097	0.46233	0.21658	0.25777	0.14031	0.076988	0	0.48722	0
0	0	0.57306	0	0.43367	0	0	0.038293	0	0.55462	0	0	0.41769
0	0	1	0	0	0	0	0	0	0	0	0	0
0	0.030634	0.14716	0.50909	0	0	0.10201	0	0.35209	0.11748	0.31323	0.5034	0.46748
0	0.15474	0.53536	0	0.020813	0.019741	0.57138	0.60121	0	0	0.026299	0	0
0	0.33909	0.30479	0.46848	0.155	0.047243	0	0.34685	0.52773	0	0.38417	0	0
0	0.33923	0.13698	0	0.60375	0	0	0	0	0.25812	0.60375	0	0.26552
0	0.34997	0	0.60288	0	0.309	0.011053	0.46425	0	0.20432	0	0.40147	0
0	0.47053	0.3868	0	0	0	0	0.37346	0.31797	0	0	0.55818	0.27721
0	0.51156	0.17602	0.017638	0	0.44976	0.51119	0.15507	0	0	0.4585	0.095622	0
0	0.52193	0.148	0.13433	0	0	0.17841	0.45899	0	0.4691	0.25846	0	0.39784
0	0.53395	0.17487	0.30854	0.43182	0	0.50606	0	0.043275	0	0	0.32883	0.19119
0	1	0	0	0	0	0	0	0	0	0	0	0
0.071071	0	0.37751	0.441	0.33273	0	0.23244	0.42628	0	0	0.13901	0	0.54054
0.072965	0	0.21313	0	0	0	0.099056	0.019509	0.52847	0.59494	0	0.55139	0.042303
0.093501	0.36037	0.080988	0.30474	0.55038	0.25925	0.10542	0.20357	0.23433	0.53326	0	0	0
0.10402	0.092993	0.052506	0.43091	0	0	0.60296	0.33873	0.44665	0.23025	0	0.24754	0
0.1309	0.22919	0	0	0.14748	0.4462	0	0.26738	0	0.23546	0.41389	0.53068	0.36005
0.13603	0.29208	0.53461	0.52323	0	0.38703	0	0	0.1468	0.27665	0	0.018526	0.2973
0.18524	0	0.60353	0	0.19132	0	0	0.30252	0	0	0.60351	0.33031	0
0.21263	0.18516	0	0	0	0	0.60366	0.1655	0	0	0.3211	0.24908	0.60297
0.27196	0.053399	0	0.59471	0.26945	0.44523	0.42453	0	0.079218	0	0.29184	0.054814	0.15488
0.34961	0	0.13233	0.16586	0.47143	0	0.32285	0	0	0.40497	0.32501	0.48646	0
0.43817	0.48175	0.35823	0	0	0.19257	0	0	0	0	0.44537	0	0.46061
0.4482	0.24465	0	0.28909	0.55132	0	0	0	0.34732	0	0	0	0.48074
0.45545	0.42391	0.55717	0	0.50734	0	0	0	0.044153	0.11474	0	0.17298	0
0.45861	0	0.30386	0.016983	0.09875	0	0.39272	0	0.57884	0.15927	0.3019	0	0.2855
0.47703	0	0.50467	0.025306	0	0	0.16103	0	0	0.15628	0	0.50114	0.46434
0.48385	0.60381	0.15538	0	0	0	0.29926	0.4136	0.33052	0	0.085393	0	0
0.50866	0.48423	0	0.34008	0	0	0	0	0.17876	0.44208	0.068953	0.34482	0.20021
0.51752	0	0	0	0.23615	0.29367	0.50078	0.49175	0	0	0	0.30745	0.055163
0.52453	0	0.2575	0	0	0.17334	0	0.50413	0.23333	0.5076	0	0.063824	0.24122
0.55148	0	0.47029	0	0.10428	0.58011	0.24581	0	0	0.18201	0.18369	0	0
0.56678	0.044046	0	0.13052	0.12586	0.29044	0	0.38198	0.2425	0	0.59505	0	0.028137
1	0	0	0	0	0	0	0	0	0	0	0	0
