0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0.67172,0,0.74081
0,0,0,0,1,0,0
0,0,0,0.71176,0,0.56867,0.41233
0,0,0,1,0,0,0
0,0,0.46738,0.78833,0,0.40011,0
0,0,0.49131,0,0.2386,0.72869,0.41316
0,0,0.66861,0.42714,0,0.34821,0.49926
0,0,1,0,0,0,0
0,0.079084,0.12982,0.33347,0.41031,0.4678,0.69173
0,0.31927,0.14824,0.7557,0.30781,0,0.45854
0,0.35107,0,0.29743,0.72949,0.50609,0
0,0.37072,0.39731,0.28117,0.78781,0,0.070729
0,0.38555,0,0.47824,0.038529,0.78813,0
0,0.39283,0.3503,0.3041,0.025721,0.08707,0.78883
0,0.41802,0,0,0,0.58385,0.69597
0,0.56364,0,0.78848,0,0.24619,0
0,0.59372,0.54155,0.32946,0,0.40017,0.29248
0,0.63087,0,0.13265,0.4378,0.18271,0.59946
0,0.74057,0,0.46603,0.48412,0,0
0,1,0,0,0,0,0
0.052256,0.38612,0.67764,0.58394,0.21907,0,0
0.12464,0,0,0.49779,0.78422,0.034281,0.34712
0.15492,0.78832,0.11403,0.43687,0,0,0.38819
0.15813,0.25823,0.51583,0,0.50061,0.13778,0.61044
0.17279,0.4414,0.53495,0,0.5231,0.46423,0
0.20391,0.70101,0.68338,0,0,0,0
0.23676,0.29069,0,0,0.39968,0.77995,0.30229
0.2573,0.58093,0.28939,0,0,0.71594,0
0.29538,0,0.61951,0.4088,0.52279,0.20467,0.21597
0.31727,0.14928,0,0.73213,0.4692,0.3477,0
0.34749,0.78806,0,0,0.36212,0.3366,0.11739
0.34812,0.45568,0,0.47067,0.16656,0.48016,0.43743
0.3586,0.29065,0.022523,0,0.76239,0.25689,0.37309
0.4471,0.57688,0.42462,0.26902,0.39252,0,0.24609
0.46085,0.32831,0.46418,0.4998,0.13318,0.44365,0
0.47063,0,0.36159,0.06705,0.16067,0.78578,0
0.48418,0.18157,0.48038,0.52518,0,0,0.47542
0.53706,0.2751,0.12237,0.78798,0,0,0
0.54943,0.21321,0.76685,0.045349,0,0.18801,0.16492
0.55105,0.53472,0,0,0,0.082699,0.63528
0.62142,0,0.31796,0.025454,0.14817,0.36138,0.59962
0.68302,0,0,0,0.55076,0.47973,0
0.6941,0,0.52687,0,0.49055,0,0
0.71063,0,0,0.43412,0.095986,0.52076,0.16166
0.73134,0.43767,0,0,0.52306,0,0
0.76617,0,0.080631,0.46557,0.43557,0,0
0.78811,0.38919,0.22531,0,0.07919,0.41071,0.041218
1,0,0,0,0,0,0
