9.753373679704964161e-01 2.977602381724864244e-01 4.373126151040196419e-02 2.120526742655783892e-01 3.742471518926322460e-01 9.416943457908928394e-01 6.902162362821400166e-01 2.731488605495542288e-01 1.300894283861126866e+01
2.429847940802574158e-01 1.647021633107215166e-01 7.183334021829068661e-02 3.955124758649617434e-01 9.423957136459648609e-01 8.641475175973027945e-01 7.390149706043303013e-02 5.910093542188405991e-01 1.350415201109252905e+01
9.099555691549758851e-01 8.666646729748934685e-01 2.146993198269236958e-02 1.789919373666478963e-01 4.823939939698877466e-01 8.343769855738575325e-01 9.387996999623785532e-01 1.296575480502301647e-01 1.095613041961663114e+01
1.238586525080167533e-01 5.361804506140007698e-01 6.853713963795968200e-02 2.276554128878901517e-01 9.404255021875647103e-01 9.214357045205229246e-01 8.181383032610658468e-01 3.398977410979568958e-01 1.227185462437934227e+01
8.922981282428303906e-01 9.898511148752722200e-01 5.585704515476684895e-01 8.444164587226653529e-01 6.241719255367422781e-02 3.861296485157341696e-01 9.951103529892861843e-01 7.181871476163737000e-02 1.204146433548790718e+01
4.799481033016599341e-01 9.056532573287404131e-02 5.596785550005733967e-02 1.335193869331196270e-01 4.841164764424527034e-01 5.198240398894995451e-01 4.298104369081556797e-02 6.387298230547457933e-01 1.694105083882335094e+01
4.244690622164697114e-02 3.464398973685717253e-02 1.022710639238617047e-01 3.607256092008356840e-02 2.360159025149660694e-01 9.877100251536714559e-01 1.849071990794502462e-01 8.198869965674349114e-01 1.413534884971105043e+01
1.791800654160617956e-01 1.023683118688110683e-01 1.906688507179538083e-02 6.470659577093429426e-02 9.395002080661249977e-01 4.344124691560864449e-01 9.053997160406775935e-01 7.122168264872400512e-01 1.318657787267391157e+01
8.414229214930729617e-01 9.434907940992868225e-01 9.725074568984052314e-01 9.186693901863824951e-01 2.300349359150415385e-01 8.443911771755665541e-01 5.029131610365646932e-01 9.323191622170132753e-01 8.527315205240061147e+00
8.223388717977797580e-02 6.439319338156475059e-01 9.958494615187928334e-01 5.834889448607443185e-01 1.684495029714633274e-01 3.033723914995789528e-03 6.701454235760292422e-01 4.600990605151103474e-01 1.508265220195251288e+01
4.583643133937579384e-01 3.024740081746131182e-01 7.052938570268452168e-02 9.967020365641026114e-01 1.420612102039323088e-01 1.422548726104596040e-01 1.325961289993547454e-01 2.897475433790469568e-02 1.557795224079938201e+01
1.446771842024259791e-01 9.119559572360604882e-01 9.328231008257716894e-01 9.701712179812796988e-01 3.822573619159359837e-02 4.953657063188609544e-01 1.065744370176022193e-02 3.578687072548348835e-01 1.306511803676060168e+01
1.366512734148119801e-01 8.710587971735072044e-01 7.849091427896048856e-02 6.251767195521151788e-01 8.568990541599313948e-01 9.281418818688103034e-01 9.431722818558916366e-01 7.316539872997902538e-01 9.746879358233648816e+00
9.171361565972285801e-03 7.933583995983515269e-01 8.460858404986655243e-03 1.299329141620546579e-01 2.096743318434492465e-01 1.421872262021240951e-01 6.980421871406223833e-01 8.191576398373549006e-01 1.298222813240076157e+01
