0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0.71214	0.61094	0.33189	0	0.097275	0
0	0	0	1	0	0	0	0	0
0	0	0.28578	0.38107	0.58343	0	0	0.19232	0.62908
0	0	0.295	0	0	0.55797	0.59078	0.47432	0.16624
0	0	0.3117	0	0.37462	0.28212	0.55487	0	0.6124
0	0	0.35524	0	0.71259	0.48478	0	0.28739	0.22003
0	0	1	0	0	0	0	0	0
0	0.03495	0.25169	0.46899	0.19242	0.54698	0.08651	0.44799	0.41362
0	0.12477	0	0.53921	0.4752	0	0.55488	0.39081	0.085069
0	0.20376	0.48472	0.61805	0.0073052	0	0	0.58436	0
0	0.24622	0.56295	0.28819	0	0	0.4423	0.35579	0.46603
0	0.35712	0	0.71311	0	0.5956	0	0	0.095877
0	0.43305	0	0	0	0.2659	0.31111	0.36987	0.71287
0	0.43969	0	0.15784	0.039457	0.70113	0.46557	0	0.26808
0	0.49063	0	0.0030774	0.32413	0.64946	0	0.48209	0
0	0.60008	0.12234	0	0.47604	0	0	0	0.63113
0	0.64396	0	0.57709	0.3354	0	0	0.37389	0
0	1	0	0	0	0	0	0	0
0.017184	0.60014	0	0	0.6201	0	0.39567	0.31378	0
0.020644	0	0.71242	0.39788	0	0.48171	0.29251	0.12698	0
0.050275	0	0	0.71205	0	0	0	0	0.70033
0.065496	0.1595	0	0.51502	0	0.12236	0.67188	0	0.4885
0.086855	0	0.55237	0.38187	0.62101	0.11807	0.36944	0	0.073762
0.13234	0.67887	0.12442	0	0.023008	0	0	0.71106	0
0.22019	0.5353	0.42804	0	0.23815	0.22676	0.60322	0	0.098703
0.22375	0.5005	0.53156	0.526	0.2594	0.24856	0	0	0.10548
0.26914	0	0	0.12564	0	0	0.47323	0.71274	0.42406
0.2811	0.45889	0.13639	0.41263	0	0.31643	0.42719	0.47968	0.093907
0.31333	0	0.52207	0	0.29394	0	0.57874	0.45599	0
0.32598	0.35856	0.2823	0	0.27011	0.57685	0	0.087089	0.52171
0.33569	0.27628	0.27574	0.23227	0.52036	0.054199	0.060553	0.60365	0.19805
0.42091	0.31027	0	0.27827	0.57423	0.14396	0.38136	0	0.39145
0.42958	0.14549	0	0.31948	0.4077	0.71102	0.14303	0	0
0.43313	0.27305	0.71219	0	0.21865	0	0.11958	0	0.41051
0.44851	0.31872	0.59241	0	0	0.42532	0.074367	0.39985	0
0.46366	0.71167	0	0.24858	0	0.46181	0	0	0.059034
0.48036	0	0	0	0	0.57942	0.65843	0	0
0.48334	0	0.22256	0.26546	0	0.15759	0	0.33735	0.71256
0.49141	0	0	0.0049704	0	0.67828	0.11145	0.48434	0.22675
0.53976	0.30017	0	0.71251	0	0	0	0.22056	0.24949
0.64509	0	0	0.28596	0	0.076321	0	0.70446	0
0.65256	0.54354	0	0	0	0	0	0.35947	0.38665
0.71247	0	0.40118	0.39538	0.29388	0.1888	0.18084	0.11883	0.079303
0.71287	0.21839	0	0	0	0	0.56268	0.35709	0
1	0	0	0	0	0	0	0	0
