0.000000	0.685427	0.397676	0.923172	0.336659	0.689263	0.695010	0.212032	0.005958	0.425803	0.034056	0.813692	0.790604	0.062662	0.421640	0.212236	0.326868	0.896896	0.596393	0.754183	0.773499	0.700703	0.746100	0.714931	0.512886	0.322540	0.097997	0.913159	0.397099	0.974199	
0.685427	0.000000	0.661514	0.622233	0.446363	0.839708	0.863480	0.688754	0.135662	0.509089	0.418026	0.057559	0.093451	0.833678	0.214538	0.054261	0.615846	0.230460	0.253351	0.825135	0.103915	0.611608	0.145953	0.692938	0.719149	0.713762	0.848391	0.239064	0.557968	0.059692	
0.397676	0.661514	0.000000	0.647905	0.553601	0.185921	0.794006	0.948399	0.332352	0.200378	0.599154	0.140570	0.008401	0.805794	0.981776	0.073517	0.071762	0.492478	0.142575	0.627547	0.007765	0.026950	0.001169	0.664495	0.083476	0.540029	0.853467	0.749195	0.420598	0.475593	
0.923172	0.622233	0.647905	0.000000	0.828227	0.497964	0.507356	0.663103	0.089600	0.995091	0.500688	0.612232	0.075783	0.019934	0.761917	0.722060	0.426714	0.608081	0.203509	0.252182	0.160639	0.020439	0.071579	0.292485	0.943743	0.298551	0.238169	0.020164	0.741099	0.050612	
0.336659	0.446363	0.553601	0.828227	0.000000	0.396589	0.558304	0.558510	0.685233	0.181775	0.872616	0.312418	0.438461	0.877094	0.633112	0.581687	0.197713	0.778267	0.821335	0.911122	0.472039	0.070996	0.335061	0.064021	0.728400	0.763001	0.644331	0.342377	0.489417	0.456878	
0.689263	0.839708	0.185921	0.497964	0.396589	0.000000	0.190890	0.862089	0.790360	0.646452	0.625348	0.194938	0.224642	0.212506	0.361979	0.919001	0.414519	0.297516	0.198599	0.850794	0.250021	0.091653	0.544060	0.475110	0.489181	0.516308	0.678062	0.582162	0.835607	0.752853	
0.695010	0.863480	0.794006	0.507356	0.558304	0.190890	0.000000	0.436462	0.447809	0.373712	0.115751	0.855673	0.171947	0.345798	0.196530	0.766232	0.767255	0.575100	0.113819	0.587667	0.627073	0.196649	0.490033	0.653652	0.303158	0.332154	0.394814	0.793977	0.488834	0.499454	
0.212032	0.688754	0.948399	0.663103	0.558510	0.862089	0.436462	0.000000	0.311168	0.291937	0.315192	0.270619	0.226626	0.633744	0.284931	0.845092	0.665558	0.024128	0.879197	0.050248	0.081119	0.636975	0.585433	0.165330	0.428968	0.760867	0.994358	0.866444	0.455980	0.456044	
0.005958	0.135662	0.332352	0.089600	0.685233	0.790360	0.447809	0.311168	0.000000	0.592199	0.232892	0.183173	0.173989	0.245689	0.451436	0.948418	0.550676	0.907761	0.770904	0.423681	0.494516	0.065502	0.774554	0.534972	0.760366	0.031200	0.337264	0.006388	0.580742	0.247375	
0.425803	0.509089	0.200378	0.995091	0.181775	0.646452	0.373712	0.291937	0.592199	0.000000	0.131686	0.171030	0.249021	0.897835	0.420760	0.119985	0.158165	0.149125	0.342541	0.540416	0.948779	0.403407	0.521033	0.891511	0.776103	0.161124	0.859190	0.749959	0.084726	0.634358	
0.034056	0.418026	0.599154	0.500688	0.872616	0.625348	0.115751	0.315192	0.232892	0.131686	0.000000	0.686864	0.872808	0.469506	0.833744	0.505289	0.414403	0.916309	0.531133	0.340107	0.874373	0.708280	0.306855	0.113503	0.643420	0.829485	0.662140	0.282479	0.469586	0.290312	
